# 2026级人工智能专业培养方案 课程清单 (课程号<TAB>课程名称<TAB>类别)
MARX1004G	大学生思想文化素养	通识-思政必修
MARX1005G	新时代实践教育	通识-思政必修
MARX1003G	习近平新时代中国特色社会主义思想概论	通识-思政必修
MARX2004G	马克思主义基本原理	通识-思政必修
MARX2005G	中国共产党历史与理论	通识-思政必修
ADMN1001G	军训	通识-军体必修
ADMN1004G	国家安全教育	通识-军体必修
EDU2001G	军事理论	通识-军体必修
PPAE4001G	体测与锻炼Ⅰ	通识-军体必修
SIS1001G	大学英语Ⅲ	通识-外语
SIS1002G	大学英语Ⅳ	通识-外语
AI1001G	智能程序设计基础	通识-计算机类必修
MATH1135G	微积分（甲）Ⅰ	通识-自然科学必修
MATH1232G	线性代数（甲）	通识-自然科学必修
MATH1136G	微积分（甲）Ⅱ	通识-自然科学必修
PHY1002G	大学物理（乙）Ⅰ	通识-自然科学选修
PHY2002G	大学物理（乙）Ⅱ	通识-自然科学选修
PHY2005G	大学物理实验	通识-自然科学选修
BIO1001G	大学生物学	通识-自然科学选修
BIO1002G	大学生物学实验	通识-自然科学选修
CHEM1002G	普通化学（甲）	通识-自然科学选修
CHEM1005G	普通化学实验（甲）	通识-自然科学选修
AI1003M	人工智能前沿与创新	专业基础
AI1001M	人工智能引论	专业基础
MATH2432F	概率论与数理统计	专业基础
AI2002M	数据结构与算法分析	专业基础
AI2003M	深度学习基础	专业基础
AI2004M	人工智能数学方法	专业基础
AI2005M	人工智能系统：计算架构与存储	专业必修
AI2006M	人工智能系统：互联与分布式	专业必修
AI2007M	大模型基础	专业必修
AI3001M	人工智能数据工程	专业必修
CS3162M	人工智能伦理与安全	专业必修
AI3002M	优化基本理论与方法	专业模块-智能理论必修
CS2071M	认知神经科学导论	专业模块-智能理论选修
AI4001M	人工智能理论研究实践	专业模块-智能理论选修
AI3003M	视觉智能	专业模块-智能模型必修
AI3004M	因果人工智能	专业模块-智能模型选修
AI4002M	人工智能模型研究实践	专业模块-智能模型选修
AI3005M	人工智能系统：AI芯片与框架	专业模块-智能系统必修
AI3006M	自主智能系统与具身智能	专业模块-智能系统选修
AI4003M	人工智能系统研究实践	专业模块-智能系统选修
AI3007M	产业智能系统工程	专业模块-智能工程必修
CS2050M	机器学习在数据分析上的实际运用	专业模块-智能工程选修
AI4004M	人工智能工程研究实践	专业模块-智能工程选修
AI1002M	人工智能编程实践	专业实践
CS3278M	人工智能前沿实践	专业实践
CS4276M	人工智能科研实践	专业实践
AI4005M	人工智能毕业论文预研	毕业论文
AI4006M	毕业论文（设计）	毕业论文
AI1004M	智能设计概论	个性-本专业进阶
CS3256M	高级机器学习	个性-本专业进阶
AI3008M	智能图形图像系统	个性-本专业进阶
CS2063M	人工智能逻辑	个性-本专业进阶
CS3251M	面向科学研究的人工智能	个性-本专业进阶
